Area,District,Shop,Location,Part Code,Description,Brand,Product Family,Quantity,Selling Price,Inventory Value,Stock Status,MRP,MOP,Current Discount %,Comments / Discount Guideline,Remark,Commented By,Comment Date,Comment Time,Last Updated
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,Automobie Pamunugama,NORMAL,MB-SAFARI4S-RED,SAFARI 4S MOTOR BIKE - RED,SINGER,MOTOR CYCLES,359,375000,134625000,A,375000,315000,16.0%,Promotion already offered,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MOBILE ADVANTI.EKALA,NORMAL,STARLINK-HP,STARLINK  HIGH PERFORMANCE,STARLINK,SATELLITE OPERATORS,49,439000,21511000,A,439000,0,0.0%,,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,WAREHOUSE BONDED -DF,NORMAL,SMGUA43DU7500,"SAMSUNG 43"" CRYSTAL UHD 4K SMART TV",SAMSUNG,TELEVISIONS - LED,85,229999,19549915,A,229999,149499,35.0%,0.5,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,WAREHOUSE BONDED -DF,NORMAL,H-BD-D802HVOS,HITACHI FULLY AUTOMATIC 8 KG/5 KG WASHER DRYER,HITACHI,WASHING MACHINE,57,290999,16586943,A,290999,0,0.0%,duty free,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,Automobie Pamunugama,WAITING FOR PARTS,MB-SAFARI4S-BLK,SAFARI 4S MOTOR BIKE - BLACK,SINGER,MOTOR CYCLES,42,375000,15750000,A,375000,315000,16.0%,Promotion already offered,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MAIN WAREHOUSE,NORMAL,ULED32D60A,UNIC 32 HD TELEVISION,UNIC,TELEVISIONS - LED,235,64999,15274765,A,64999,29999,53.8%,"Sell at Rs.24,999",Transfer to shops for sale clearance,Shanuka,2026-08-18,10:50:32,2026-08-18T05:20:32.667Z
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,DAHUA CCTV WAREHOUSE,NORMAL,DH-IPC-HFW1230TCP-A-36B,2 MP ENTRY IR FIXED-FOCAL BULLET NETWORK CAMERA,DAHUA,SECURITY SYSTEMS,611,24500,14969500,A,24500,0,0.0%,,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,Motorbike & Sp parts,NORMAL,MB-SAFARI4S-RED,SAFARI 4S MOTOR BIKE - RED,SINGER,MOTOR CYCLES,35,375000,13125000,A,375000,315000,16.0%,Promotion already offered,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MOBILE ADVANTI.EKALA,DMC,HON-MAGIC-7PRO-12-512-BLK,HON MAGIC 7PRO 12 512 BLK,HONOR,PHONE - SMART,33,379999,12539967,A,379999,265999,30.0%,"Displayed/Unboxed - 15% Additional Discount, Considering the severity of the damage (battery issues, display damage, and scratch marks), a discount of 50% to 70%, Parts missing (Cable, Adapter) Upto 50% - 60% Discount.",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MOBILE ADVANTI.EKALA,DMC,HON-MAGIC-7PRO-12-512-GRY,HON MAGIC 7PRO 12 512 GRY,HONOR,PHONE - SMART,31,379999,11779969,A,379999,265999,30.0%,"Displayed/Unboxed - 15% Additional Discount, Considering the severity of the damage (battery issues, display damage, and scratch marks), a discount of 50% to 70%, Parts missing (Cable, Adapter) Upto 50% - 60% Discount.",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,ADVANTIS MWH-EKALA,NORMAL,WB-B110,ZENO B110 WALL MOUNTED TV BRACKET,ZENO,WALL BRACKETS,1233,7499,9246267,A,7499,0,0.0%,Active model - Price Adjusted,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MAIN WAREHOUSE,NORMAL,B-HII64200MT,BEKO 60CM INDUCTION HOB,BEKO,BUILT IN PRODUCTS,40,226599,9063960,A,226599,148599,34.4%,,Transfer to a branded clearance sale,Shanuka,2026-08-18,14:13:55,2026-08-18T08:43:55.145Z
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MOBILE ADVANTI.EKALA,E-COMMERCE,STARLINK-HP,STARLINK  HIGH PERFORMANCE,STARLINK,SATELLITE OPERATORS,20,439000,8780000,A,439000,0,0.0%,,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,HORANA WH CLEARANCE,CLEARANCE,SIN-MH51SW,HI FI HOME AUDIO SYSTEM,SINGER,AUDIOS,102,82399,8404698,L,82399,24720,70.0%,0.8,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MAIN WAREHOUSE,BRDM,B-BMGB25332BG,BEKO BUILT-IN MICROWAVE,BEKO,BUILT IN PRODUCTS,55,144199,7930945,A,144199,99999,30.7%,,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,WAREHOUSE BONDED -DF,NORMAL,H-LTL09M00GG,HITACHI FULLY AUTOMATIC 9KG WASHING MACHINE,HITACHI,WASHING MACHINE,30,261999,7859970,A,261999,0,0.0%,duty free,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,FURNITURE WAREHOUSE,NORMAL,LF-OFI-HATAB-001-WO-S,ELECTRIC HEIGHT ADJUSTABLE  TABLE - WHITE OAK,SINGER,FURNITURE-OFFICE TABLE - MODULAR,67,113799,7624533,A,113799,102419,10.0%,"active location extra 10%, increase based on the condition",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MOBILE ADVANTI.EKALA,DMC,HON-CH-BUDS-CLIP-BLK,HON CH BUDS CLIP MAK ME00 BLK,HONOR,PHONE ACCESSORIES,331,21999,7281669,A,21999,0,0.0%,"Active SKU, No Discounts applicable",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,ADVANTIS MWH-EKALA,NORMAL,WB-F65,ZENO F65 TV WALL MOUNTED BRACKET,ZENO,WALL BRACKETS,2902,2499,7252098,A,2499,0,0.0%,Active model - Price Adjusted,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,ADVANTIS MWH-EKALA,BUFFER,B-BMGB25332BG,BEKO BUILT-IN MICROWAVE,BEKO,BUILT IN PRODUCTS,50,144199,7209950,A,144199,99999,30.7%,,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,ADVANTIS MWH-EKALA,BRDM,SBI-QX60VDSS,SINGER BUILT-IN OVEN - 68 L,SINGER,BUILT IN PRODUCTS,50,141999,7099950,A,141999,134899,5.0%,,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,ADVANTIS MWH-EKALA,BRDM,SCF-TD145ZCDL145S-948L,SINGER COMBINED FREEZER-948L,SINGER,DEEP FREEZERS,7,999999,6999993,A,999999,0,0.0%,No discount to be offered. This SKU is reserved for corporate or special orders.,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,ADVANTIS MWH-EKALA,NORMAL,M-FDE125CSV-S,MITSUBISHI 42K BTU NON INV - CEILING SUSPENDED,MITSUBISHI,AIR CONDITIONERS,8,849999,6799992,A,849999,747999,12.0%,OFFER FLAT 20%,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,FURNITURE WAREHOUSE,NORMAL,WFI-PISTONIA-CHR-S,PISTONIA DINING CHAIR - 6 SEATER,SINGER,FURNITURE-DINING - IMPORTED,251,27000,6777000,O,27000,22950,15.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,DAHUA CCTV WAREHOUSE,NORMAL,DH-IPC-B1E29P-A-IL-36B,2MP ECO SMART DUAL LIGHT FIXED-FOCAL BULLET NETWORK CAMERA,DAHUA,SECURITY SYSTEMS,600,11132,6679200,A,11132,0,0.0%,,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,ADVANTIS MWH-EKALA,NORMAL,SLE100A4F,SINGER 100 4K HDR QLED GOOGLE TV,SINGER,TELEVISIONS - LED,6,1099999,6599994,A,1099999,999999,9.1%,Maximum discount systemized,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,ADVANTIS MWH-EKALA,NORMAL,SW-SD10410GRY,SWAN DUAL 8L 13 IN 1 AIR FRYER - SD10410GRY,SWAN,KITCHENAPP-AIRFRYERS,104,62999,6551896,A,62999,37799,40.0%,Provide additional 30% for display units and total upto 80% for damage units,,,,,
DUTY FREE,DUTY FREE,DUTY FREE,NORMAL,SMGUA43DU7500,"SAMSUNG 43"" CRYSTAL UHD 4K SMART TV",SAMSUNG,TELEVISIONS - LED,27,229999,6209973,A,229999,149499,35.0%,0.5,To clear in Aug,Shanuka Herath,2026-08-17,09:39:54,2026-08-17T04:09:54.181Z
ICD,ICD,INVENTORY CONTROL,NORMAL,HON-H400PRO-12-512-BLK,HON H400PRO 12 512 BLK,HONOR,PHONE - SMART,30,199999,5999970,A,199999,179999,10.0%,"Displayed/Unboxed - 15% Additional Discount, Considering the severity of the damage (battery issues, display damage, and scratch marks), a discount of 50% to 70%, Parts missing (Cable, Adapter) Upto 50% - 60% Discount.",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MOBILE ADVANTI.EKALA,DMC,HU-WATCH-GT6-B,HUAWEI SMART WATCH GT6 BLACK,HUAWEI,PHONE ACCESSORIES,84,70999,5963916,A,70999,0,0.0%,"Give a 10% Discount for Sealed pack, 20% disocunt for unboxed units",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,DAHUA CCTV WAREHOUSE,NORMAL,DHA-HFW1209TLMP-A-LED-36B,2M FULL-COLOR STARLIGHT HDCVI BULLE,DAHUA,SECURITY SYSTEMS,672,8860,5953920,A,8860,0,0.0%,,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,HORANA WH CLEARANCE,CLEARANCE,SHAKE-X10D,SONY SHAKE X-10D AUDIO HI FI SYSTEM,SONY,AUDIOS,15,380999,5714985,O,380999,114300,70.0%,0.8,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MOBILE ADVANTI.EKALA,E-COMMERCE,HON-MAGIC-7PRO-12-512-BLK,HON MAGIC 7PRO 12 512 BLK,HONOR,PHONE - SMART,15,379999,5699985,A,379999,265999,30.0%,"Displayed/Unboxed - 15% Additional Discount, Considering the severity of the damage (battery issues, display damage, and scratch marks), a discount of 50% to 70%, Parts missing (Cable, Adapter) Upto 50% - 60% Discount.",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,Motorbike & Sp parts,NORMAL,MB-SAFARI4S-BLK,SAFARI 4S MOTOR BIKE - BLACK,SINGER,MOTOR CYCLES,15,375000,5625000,A,375000,315000,16.0%,Promotion already offered,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,DAHUA CCTV WAREHOUSE,NORMAL,DH-NVR1104HS-W-S2-CE,1080P H.265 ACTIVE DETERRENCE BULLE,DAHUA,SECURITY SYSTEMS,228,24399,5562972,A,24399,0,0.0%,,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MOBILE ADVANTI.EKALA,NORMAL,HON-CH-SPEAKER-PRO-BLK,HONOR CHOICE SPEAKER PRO HC AB9 TE2 BLACK,HONOR,PHONE ACCESSORIES,231,23999,5543769,A,23999,0,0.0%,"Active SKU, No Discounts applicable",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,WAREHOUSE BONDED -DF,NORMAL,SMGUA32N4010,SAMSUNG 32 LED TV,SAMSUNG,TELEVISIONS - LED,85,64999,5524915,L,64999,39999,38.5%,,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,DAMBUL LOGISTICS HUB,NORMAL,SLE100A4F,SINGER 100 4K HDR QLED GOOGLE TV,SINGER,TELEVISIONS - LED,5,1099999,5499995,A,1099999,999999,9.1%,Maximum discount systemized,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,ADVANTIS MWH-EKALA,E-COMMERCE,SLE100A4F,SINGER 100 4K HDR QLED GOOGLE TV,SINGER,TELEVISIONS - LED,5,1099999,5499995,A,1099999,999999,9.1%,Maximum discount systemized,,,,,
NORTH REGION NORTH  AREA,JAFFNA  DISTRICT,JAFFNA,NORMAL,H-RMRG024MFEOE,HITACHI INVERTER AIR CONDITIONER 24000 BTU - WIFI,HITACHI,AIR CONDITIONERS,15,349999,5249985,A,349999,314999,10.0%,ACTIVE MODEL - NO ADDITIONAL DISCOUNT,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MOBILE ADVANTI.EKALA,DMC,HON-CH-PEN-WH9,HON CH PEN HC WH9 ALL,HONOR,PHONE ACCESSORIES,347,14999,5204653,A,14999,0,0.0%,"Active SKU, No Discounts applicable",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,WAREHOUSE BONDED -DF,NORMAL,PN-TH-55MX740N,PANASONIC 55' 4K UHD SMART TV (TH-55MX740N),PANASONIC,TELEVISIONS - LED,17,304999,5184983,A,304999,244999,19.7%,Up to 40%,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,HORANA WH CLEARANCE,NORMAL,SLE43S400,SINGER 43 FULL HD SMART TELEVISION,SINGER,TELEVISIONS - LED,78,65999,5147922,O,65999,45999,30.3%,Up to 70%,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,HORANA WH CLEARANCE,NORMAL,SLE55H4000,"SINGER 55"" 4K ANDROID SMART TELEVISION SLE55H4000",SINGER,TELEVISIONS - LED,20,254999,5099980,L,254999,0,0.0%,Up to 50%,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MAIN WAREHOUSE,NORMAL,SIN-RFC-2012,SINGER HAIR CLIPPER,SINGER,PERSONAL CARE,708,7199,5096892,A,7199,5039,30.0%,Provide additional 30% for display units and total upto 80% for damage units,Discount 50%,Lashini Gamage,2026-08-18,17:09:17,2026-08-18T11:39:17.497Z
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MOBILE ADVANTI.EKALA,NORMAL,HON-CH-EARBUDS-S8-WHT,HONOR CHOICE EARBUDS S8 GLOBAL VERSION WHITE,HONOR,PHONE ACCESSORIES,268,18999,5091732,A,18999,0,0.0%,"Active SKU, No Discounts applicable",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,ADVANTIS MWH-EKALA,BRDM,SBI-QX60ED,SINGER BUILT-IN OVEN - 68 L,SINGER,BUILT IN PRODUCTS,35,139999,4899965,A,139999,132999,5.0%,,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,DAHUA CCTV WAREHOUSE,NORMAL,DH-ARD1231-SW,IMOU motion detector,DAHUA,SECURITY SYSTEMS,586,8099,4746014,A,8099,0,0.0%,,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MOBILE ADVANTI.EKALA,DMC,DELL-AW16250-C5-16-512-WH,DELL ALIENWARE 16 AURORA AC16250 LAPTOP,DELL,COMPUTERS & LAPTOPS - OTHER BRANDED,10,459999,4599990,A,459999,0,0.0%,"Any Display Issues - 50-60%, Keyboard/Touchpad Issues - 30%, Battery Issues 50-60%.
Unboxed or Displayed Products - 10%
If Parts N/A - 30%
Special Note - If products are not physically available in shop or products are used by shop - 50%",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,DAHUA CCTV WAREHOUSE,NORMAL,DH-ARD311-SW-IMOU,IMOU Magnetic Door Contact,DAHUA,SECURITY SYSTEMS,774,5899,4565826,A,5899,0,0.0%,,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,ADVANTIS MWH-EKALA,NORMAL,WF-DEVON-311-BU-S,DEVON SOFA 3+1+1 - BLUE COLOUR,SINGER,FURNITURE-SOFA - FACTORY,29,156999,4552971,O,156999,133449,15.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MOBILE ADVANTI.EKALA,SERVICEDMC,AS-ZEN-15G-U5-1TB-328-SIL,ASUS ZENBOOK 328 15GEN U5 1TB 16GB SIL,ASUS,COMPUTERS & LAPTOPS - OTHER BRANDED,7,649999,4549993,A,649999,0,0.0%,"Any Display Issues - 50-60%, Keyboard/Touchpad Issues - 30%, Battery Issues 50-60%.
Unboxed or Displayed Products - 10%
If Parts N/A - 30%
Special Note - If products are not physically available in shop or products are used by shop - 50%",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MAIN WAREHOUSE,QSU,H-R-WB640V0PBX-MIR,HITACHI FRENCH BOTTOM FREEZER LUXURY,HITACHI,REFRIGERATORS,3,1499999,4499997,A,1499999,0,0.0%,,Transfer to Godagama clearance Disc 70%,Shanuka,2026-08-18,09:55:41,2026-08-18T04:25:41.930Z
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,DAHUA CCTV WAREHOUSE,NORMAL,DH-IPC-T1E29P-A-IL-28B,2MP ECO SMART DUAL LIGHT FIXED-FOCAL EYEBALL NETWORK CAMERA,DAHUA,SECURITY SYSTEMS,402,11132,4475064,A,11132,0,0.0%,,,,,,
DUTY FREE,DUTY FREE,DUTY FREE,NORMAL,SKY55Q6700G,SKYWORTH 55â€ 4K HDR QLED  GOOGLE TV,SKYWORTH,TELEVISIONS - LED,20,219999,4399980,A,219999,159999,27.3%,"Maximum discount systemized, if the product/carton is damaged give additional 10%",Price adjusted,Shanuka Herath,2026-08-17,09:40:44,2026-08-17T04:10:44.307Z
ICD,ICD,INVENTORY CONTROL,NORMAL,HON-H400LITE-12-256-GRY,HON H400LITE 12 256 GRY,HONOR,PHONE - SMART,44,99999,4399956,A,99999,74999,25.0%,"Displayed/Unboxed - 15% Additional Discount, Considering the severity of the damage (battery issues, display damage, and scratch marks), a discount of 50% to 70%, Parts missing (Cable, Adapter) Upto 50% - 60% Discount.",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MOBILE ADVANTI.EKALA,SALVAGE PARTS,ZTE-A35-2-64GB-BLK,ZTE-A35-2-64GB-BLACK,ZTE,PHONE - SMART,191,22999,4392809,O,22999,4600,80.0%,"Displayed/Unboxed - 15% Additional Discount, Considering the severity of the damage (battery issues, display damage, and scratch marks), a discount of 50% to 70%, Parts missing (Cable, Adapter) Upto 50% - 60% Discount.",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MOBILE ADVANTI.EKALA,NORMAL,HON-CH-SPEAKER-PRO-WHT,HONOR CHOICE SPEAKER PRO HC AB9 TE2 WHITE,HONOR,PHONE ACCESSORIES,183,23999,4391817,A,23999,0,0.0%,"Active SKU, No Discounts applicable",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MAIN WAREHOUSE,NORMAL,CAN-TR-325BK,"CANON TONER 325BK FOR PRINTER LBP6030,LBP6030W",CANNON,PRINTER ACCESSORIES,143,30299,4332757,A,30299,0,0.0%,,Scrap to do,Shanuka,2026-08-18,16:08:58,2026-08-18T10:38:58.079Z
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,DAMBUL LOGISTICS HUB,BUFFER,B-BMGB25332BG,BEKO BUILT-IN MICROWAVE,BEKO,BUILT IN PRODUCTS,30,144199,4325970,A,144199,99999,30.7%,,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,HORANA WH CLEARANCE,CLEARANCE,FT-FAC-31001,AIR COMPRESSURE BELT DRIVEN,FIXTEC,POWER TOOLS,13,326499,4244487,L,326499,0,0.0%,,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,DAHUA CCTV WAREHOUSE,NORMAL,DH-I-HDW2449TP-S-PRO-28B,4MP WIZCOLOR FIXED-FOCAL EYEBALL WIZSENSE NETWORK CAMERA,DAHUA,SECURITY SYSTEMS,136,30750,4182000,A,30750,0,0.0%,,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,HORANA WH CLEARANCE,CLEARANCE,SIN-MH44SW,SINGER AUDIO HI-FI SYSTEM,SINGER,AUDIOS,39,99999,3899961,L,99999,30000,70.0%,0.85,,,,,
SOUTH REGION COLOMBO METRO  AREA,KADUWELA  DISTRICT,BATTARAMULLA,NORMAL,MSI-CYB-A2RUDX-3050-I5-BL,MSI CYBORG 14TH GEN I5 3050 512GB 16GB BLK,MSI,COMPUTERS & LAPTOPS - OTHER BRANDED,11,349999,3849989,A,349999,323749,7.5%,"Any Display Issues - 50-60%, Keyboard/Touchpad Issues - 30%, Battery Issues 50-60%.
Unboxed or Displayed Products - 10%
If Parts N/A - 30%
Special Note - If products are not physically available in shop or products are used by shop - 50%",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,HORANA WH CLEARANCE,NORMAL,ULED43S550,"UNIC 43"" FULL HD SMART TELEVISION",UNIC,TELEVISIONS - LED,47,79999,3759953,O,79999,0,0.0%,Up to 70%,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,Automobie Pamunugama,WAITING FOR PARTS,MB-SAFARI4S-RED,SAFARI 4S MOTOR BIKE - RED,SINGER,MOTOR CYCLES,10,375000,3750000,A,375000,315000,16.0%,Promotion already offered,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MOBILE ADVANTI.EKALA,SALVAGE PARTS,ZTE-A54-4-64GB-GRE,ZTE-A54-4-64GB-GREY,ZTE,PHONE - SMART,133,27999,3723867,A,27999,14000,50.0%,"Displayed/Unboxed - 15% Additional Discount, Considering the severity of the damage (battery issues, display damage, and scratch marks), a discount of 50% to 70%, Parts missing (Cable, Adapter) Upto 50% - 60% Discount.",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,DAMBUL LOGISTICS HUB,NORMAL,ULED32D60A,UNIC 32 HD TELEVISION,UNIC,TELEVISIONS - LED,57,64999,3704943,A,64999,29999,53.8%,"Sell at Rs.24,999",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MOBILE ADVANTI.EKALA,NORMAL,HON-CH-BUDS-CLIP-BLK,HON CH BUDS CLIP MAK ME00 BLK,HONOR,PHONE ACCESSORIES,168,21999,3695832,A,21999,0,0.0%,"Active SKU, No Discounts applicable",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,FURNITURE WAREHOUSE,NORMAL,LF-LOUVRE-BDQ-SHW-S,LOUVRE QUEEN SIZE BED - SAHARA WALNUT,PREMIUM FURNITURE,FURNITURE-BEDS - MODULAR,21,173599,3645579,A,173599,156239,10.0%,"active location extra 10%, increase based on the condition",,,,,
